week,product_name,department,total_qty,total_revenue
1,1.5% milkfat grade a pasteurized lowfat cottage cheese,dairy eggs,1,8
1,100 calorie ritz snnack mix packs,snacks,1,4
1,100% juice no sugar added pure pineapple,beverages,1,2
1,100% plant protein beastley sliders,frozen,1,3
1,100% pure organic apple juice,beverages,1,12
2,100% colombian medium dark roast ground coffee,beverages,1,7
2,100% cranberry juice,beverages,1,13
2,100% juice medley of fruits,beverages,1,2
2,100% natural diced fire roasted tomatoes,canned goods,1,2
2,100% pure u.s. honey,pantry,1,6
3,100% non-pareil capers,pantry,1,6
3,100% real potatoes,dry goods pasta,1,12
3,100% recycled 2 ply paper towels,household,1,2
3,100% recycled facial tissue,household,1,11
3,100% whole wheat cinnamon with raisins,bakery,1,12
4,1 razor handle and 2 freesia scented razor refills  premium bladerazor system,personal care,1,13
4,1% milkfat low fat buttermilk,dairy eggs,1,7
4,10 oz paper bowls,household,1,12
4,100% lactose free organic 2% reduced fat milk,dairy eggs,1,3
4,100% lactose free whole calcium enriched milk,dairy eggs,1,11
5,0 calorie acai raspberry water beverage,beverages,1,7
5,1% lowfat chocolate milk,dairy eggs,1,7
5,100 calorie healthy pop butter 1.2 oz mini bags microwave pop corn,snacks,1,5
5,100% natural america's favorite tea,beverages,1,13
5,100% organic einkorn whole wheat pasta,dry goods pasta,1,2
6,1 to 1 gluten free baking flour,pantry,1,12
6,1% milkfat lowfat cottage cheese,dairy eggs,1,10
6,1-step 1-minute paneer makhani,international,1,9
6,100% colombian medium coffee,beverages,1,5
6,100% grated parmesan & romano cheese,dairy eggs,1,10
